,year,regional_schlüssel,Aus15,Aus16,Aus17,Aus18,Aus19,Aus20,Aus21,Aus22,Aus23,Aus24,Aus25,Aus26,Aus27,Aus28,Aus29,Aus30,Aus31,Aus32,Aus33,Aus34,Aus35,Aus36,Aus37,Aus38,Aus39,Aus40,Aus41,Aus42,Aus43,Aus44,Aus45,Aus46,Aus47,Aus48,Aus49,Aus50,Ausuknwn,Deu15,Deu16,Deu17,Deu18,Deu19,Deu20,Deu21,Deu22,Deu23,Deu24,Deu25,Deu26,Deu27,Deu28,Deu29,Deu30,Deu31,Deu32,Deu33,Deu34,Deu35,Deu36,Deu37,Deu38,Deu39,Deu40,Deu41,Deu42,Deu43,Deu44,Deu45,Deu46,Deu47,Deu48,Deu49,Deu50,Deuuknwn,Austotal,Deutotal,Deu15_20,Aus15_20,Deu21_25,Aus21_25,Deu26_30,Aus26_30,Deu31_35,Aus31_35,Deu36_40,Aus36_40,Deu41_45,Aus41_45,Deu46_50,Aus46_50
34,2000,5158036,0,0,1,2,3,2,0,2,1,3,8,0,4,3,2,3,3,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,2,4,1,3,2,4,7,12,6,5,12,10,17,9,11,3,1,0,1,3,0,0,0,0,0,0,0,6,0,4,2,0,47,127,8,4,14,14,12,42,10,50,0,5,0,0,3,12
35,2000,5162004,0,0,1,1,4,0,7,8,9,7,11,12,4,13,14,8,4,3,3,6,4,0,0,1,1,0,0,0,0,0,0,0,4,2,0,0,0,0,2,2,5,2,6,14,15,10,16,12,25,18,27,32,37,33,49,44,23,28,2,0,6,3,0,0,0,0,0,0,0,18,14,12,9,0,127,464,6,17,42,67,51,139,20,177,2,11,0,0,6,53
36,2000,5162008,0,0,0,1,2,5,9,9,14,13,13,8,12,7,9,9,3,4,3,3,5,1,0,0,2,0,0,0,0,0,0,0,3,1,2,0,0,0,1,6,3,5,6,8,14,9,13,32,24,35,23,36,35,37,40,30,36,26,1,1,4,1,0,1,0,0,0,0,0,17,10,13,5,0,138,472,8,21,58,76,45,153,18,169,3,7,0,1,6,45
37,2000,5162012,0,0,1,0,2,1,2,2,0,0,2,1,2,1,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,4,1,7,7,7,3,6,14,10,21,13,23,16,15,9,0,1,1,1,0,0,0,0,0,0,0,11,6,4,2,0,22,188,4,6,6,26,5,54,5,76,0,3,0,0,2,23
38,2000,5162016,0,0,0,0,0,0,4,3,3,3,3,6,3,7,3,4,4,3,3,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,2,2,0,3,3,9,10,17,22,23,31,32,29,28,23,11,1,0,3,1,0,0,0,0,0,0,0,17,8,17,6,0,59,301,0,5,16,17,23,103,17,123,1,5,0,0,2,48
39,2000,5162020,0,0,0,0,1,0,1,2,0,2,3,3,3,3,3,7,3,3,2,0,3,0,0,1,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,3,7,6,3,7,9,6,10,14,19,27,20,29,29,30,30,11,2,0,1,1,0,0,0,1,0,0,0,15,16,6,4,0,47,306,1,10,8,31,19,90,11,129,2,4,0,1,6,41
40,2000,5162022,0,0,0,3,1,3,7,4,10,1,5,9,5,4,8,4,10,14,10,6,5,0,0,0,2,0,0,0,0,0,0,0,6,6,2,3,0,0,0,1,1,1,2,7,3,6,9,6,15,22,17,21,34,42,58,43,37,30,2,1,4,4,0,1,0,0,0,0,0,15,15,11,9,0,128,417,7,5,27,31,30,109,45,210,2,11,0,1,17,50
41,2000,5162024,0,1,5,6,12,17,21,18,21,18,32,30,24,23,22,17,18,21,12,10,8,1,1,2,1,0,0,0,0,0,0,0,6,7,5,5,0,2,0,1,6,15,27,27,35,33,36,50,65,42,71,69,68,88,97,83,82,63,3,3,14,12,1,0,1,0,0,0,0,59,29,23,25,0,364,1130,41,51,110,181,116,315,69,413,5,33,0,1,23,136
42,2000,5162028,0,0,0,0,1,0,1,0,1,0,2,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,2,1,1,4,1,4,4,5,5,12,6,6,7,10,9,9,0,0,0,1,0,0,0,0,0,0,0,4,2,2,0,0,12,97,1,4,4,11,2,32,3,41,0,1,0,0,2,8
43,2000,5166004,0,0,0,0,0,0,0,0,1,1,1,0,0,4,3,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3,6,5,1,5,6,9,7,2,12,12,8,17,13,11,10,0,1,0,1,0,0,0,0,0,0,0,12,4,0,1,0,17,147,0,4,3,23,8,42,4,59,0,2,0,0,2,17
