year,regional_schlüssel,kreis_city,eligblvotrs,votrpart,vldsecndvotrs,CDU/CSU ,SPD,GRÜNE,FDP ,DIE LINKE,AfD,Sonstige Parteien
2017,5554056,        Stadtlohn,15282,80.5,12202,6029,2457,627,1730,489,579,291
2017,5554060,        Südlohn,6871,81.3,5554,2868,925,270,923,205,265,98
2017,5554064,"        Velen, Stadt",10065,81.2,8125,3980,1533,460,1143,326,503,180
2017,5554068,        Vreden,17342,80.2,13811,6883,2914,757,1728,547,663,319
2017,5558,"      Coesfeld, Kreis",172726,81.1,139233,61149,29430,10234,18926,7483,8658,3353
2017,5558004,        Ascheberg,11845,81.9,9642,4460,1943,524,1495,454,553,213
2017,5558008,        Billerbeck,9169,83.8,7618,3357,1576,673,1095,376,370,171
2017,5558012,        Coesfeld,28782,80,22869,10240,4883,1852,3027,1164,1153,550
2017,5558016,        Dülmen,36287,79.6,28707,12389,6586,1812,3601,1657,1949,713
2017,5558020,        Havixbeck,9264,84.6,7805,3229,1664,861,996,468,407,180
2017,5558024,        Lüdinghausen,19275,80.6,15441,6715,3221,1242,2049,881,951,382
2017,5558028,        Nordkirchen,8151,81.7,6628,2844,1417,429,937,291,531,179
2017,5558032,        Nottuln,15386,81.9,12550,5236,2755,1005,1862,692,686,314
2017,5558036,        Olfen,10359,79.9,8201,3413,1756,461,1112,464,787,208
2017,5558040,        Rosendahl,8317,83.8,6939,3727,1173,336,967,252,335,149
2017,5558044,"        Senden, Westf",15891,81.3,12833,5539,2456,1039,1785,784,936,294
2017,5562,"      Recklinghausen, Kreis",473084,74,347120,102678,108671,18408,36348,23744,42630,14641
2017,55620004004,        Castrop-Rauxel,57576,72,41086,11660,13849,2132,3882,2941,4860,1762
2017,5562008,        Datteln,26685,72.6,19191,5704,6102,936,1910,1410,2294,835
2017,5562012,        Dorsten,60048,76.8,45741,16375,12514,2421,5286,2905,4737,1503
2017,55620014014,        Gladbeck,54393,72.4,38985,10116,13111,1666,3629,2668,5729,2066
2017,5562016,        Haltern am See,30994,82.6,25439,9977,6129,1827,3281,1481,2082,662
2017,55620020020,        Herten,45067,73.7,32927,8945,10822,1591,3402,2346,4307,1514
2017,55620024024,"        Marl, Westf",64869,71.8,46074,12289,15670,2078,4630,2891,6527,1989
2017,5562028,        Oer-Erkenschwick,21761,73.7,15879,4164,5501,757,1536,1073,2177,671
2017,55620032032,        Recklinghausen,88075,73,63735,17907,19448,3862,6679,4852,8011,2976
2017,5562036,        Waltrop,23616,77.2,18063,5541,5525,1138,2113,1177,1906,663
2017,5566,"      Steinfurt, Kreis",339903,77.9,262938,104760,68223,18572,31196,16147,17068,6972
2017,5566004,        Altenberge,7955,83.8,6630,2830,1301,696,928,414,298,163
2017,5566008,        Emsdetten,27650,78.9,21665,8559,5551,1744,2518,1537,1183,573
2017,5566012,"        Greven, Westf",28252,76.9,21529,7919,5190,1713,2735,1669,1603,700
2017,5566016,        Hörstel,15513,80.6,12417,5582,3111,673,1305,603,845,298
2017,5566020,        Hopsten,5686,82,4625,2365,1001,169,652,140,218,80
2017,5566024,        Horstmar,4958,82.9,4087,2017,901,249,506,156,175,83
2017,5566028,        Ibbenbüren,39974,77.5,30737,10912,9411,2123,3242,1980,2263,806
2017,5566032,        Ladbergen,5183,80.1,4122,1524,1145,336,574,209,248,86
2017,5566036,        Laer,5003,82.6,4101,1865,791,331,589,247,187,91
2017,5566040,"        Lengerich, Westf",16630,72.6,11964,3655,3777,947,1333,825,954,473
2017,5566044,        Lienen,6650,79.4,5254,1862,1439,449,662,367,333,142
2017,5566048,        Lotte,10549,73.3,7664,2329,2296,578,799,616,830,216
2017,5566052,        Metelen,4783,82.2,3914,1881,940,218,404,164,234,73
2017,5566056,        Mettingen,9440,81.5,7616,3237,2289,464,713,359,399,155
2017,5566060,"        Neuenkirchen, Kr Steinfurt",10601,80.5,8473,4115,1797,547,1008,392,422,192
2017,5566064,        Nordwalde,7262,81.3,5862,2792,1265,406,673,250,353,123
2017,5566068,        Ochtrup,14403,79.4,11361,5043,2849,673,1417,482,595,302
2017,5566072,        Recke,8947,81.1,7197,3295,1895,491,647,325,377,167
2017,5566076,        Rheine,57559,74,42278,16926,10593,2499,5187,2877,3033,1163
2017,5566080,        Saerbeck,5331,81.7,4324,1944,950,302,544,232,254,98
2017,55660084084,        Steinfurt,25699,77.5,19749,7556,4941,1634,2572,1252,1196,598
2017,5566088,        Tecklenburg,6996,81.3,5661,2028,1552,521,711,386,351,112
2017,5566092,        Westerkappeln,8770,75.7,6608,2004,2208,516,770,444,484,182
2017,5566096,"        Wettringen, Kr Steinfurt",6109,83.8,5100,2520,1030,293,707,221,233,96
2017,5570,"      Warendorf, Kreis",209604,78,162144,65357,38992,10815,21175,8997,12025,4783
2017,55700004004,        Ahlen,37233,73.4,27042,9258,8250,1179,2935,1613,2641,1166
2017,5570008,        Beckum,27449,73.2,19922,7202,5584,1173,2310,1340,1707,606
2017,5570012,        Beelen,4602,77.2,3507,1492,694,259,467,201,302,92
2017,5570016,        Drensteinfurt,12350,83.8,10287,4476,2172,811,1460,498,653,217
2017,5570020,        Ennigerloh,15374,76.3,11628,4496,2981,656,1506,617,1036,336
2017,5570024,        Everswinkel,7451,84.8,6277,2733,1342,439,946,335,345,137
2017,5570028,        Oelde,21985,80.1,17437,7094,4273,1151,2296,907,1201,515
2017,5570032,        Ostbevern,8125,81.4,6560,3034,1199,504,977,329,384,133
2017,5570036,        Sassenberg,10646,77.4,8178,3650,1692,462,1081,410,635,248
2017,5570040,        Sendenhorst,10311,80.5,8246,3454,1855,507,1137,490,573,230
2017,5570044,        Telgte,15250,82.2,12474,5261,2465,1439,1788,634,612,275
2017,5570048,        Wadersloh,9726,79.2,7658,3456,1618,473,1046,360,511,194
2017,5570052,        Warendorf,29102,79.5,22928,9751,4867,1762,3226,1263,1425,634
2017,57,"    Detmold, Regierungsbezirk",1544553,75,1147988,395105,288495,88169,140698,83017,113350,39154
